Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
2,,,,,,,,,,,,,,,,,,1,,,,,,2,7,,,4,2,2,2,2,2,3,3,,,3,0,77,98,0,100,0,100,53,0,46,43,48,0,75,44,3,3
2,2,1,,,,,,,,,,,,,,,,,,,,,,1,6,,4,,2,1,1,1,1,1,3,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2,2,,,,,,,,,,,,,,1,Mexico (hispanic).,,,,,,,,6,10,,,5,2,2,1,1,2,2,,,2,5,0,25,32,0,76,0,68,50,0,30,4,30,0,29,0,2,5
2,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,5,2,2,1,1,2,2,5,,,5,0,90,100,0,100,5,91,100,0,8,9,100,0,96,,4,4
2,,,,,,,,,,,,,,,,,,1,,,,,,1,4,,5,,2,1,1,1,1,1,,4,,5,0,26,38,0,52,0,41,86,,12,10,,0,22,15,2,4
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,3,2,2,3,3,2,4,,,4,0,0,0,0,0,0,0,0,0,85,70,,0,25,75,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,4,2,2,2,2,2,3,,,4,0,71,75,0,100,0,23,84,3,0,5,,0,70,9,3,2
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,2,1,1,2,1,2,5,,,5,11,80,100,41,,,,,54,83,73,57,0,100,0,3,4
1,3,,,,,,,,,,,,,,1,Hispanic?,,,,,,,,2,11,,,5,2,1,1,1,1,1,5,,,5,0,70,80,0,100,0,80,100,5,25,50,70,0,81,0,2,2
1,,,,,,,,,,,,,,,,,,,,,,1,,6,1,,5,,4,2,2,2,2,2,,,1,5,0,44,62,0,66,0,44,58,12,,,,,,,3,4
1,3,,,,,,,,,,,,,,1,,,,,,,,,4,4,,,3,4,2,2,2,2,2,3,,,4,0,0,20,0,0,0,25,0,0,0,0,0,0,0,0,3,3
