democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
30,30,5,1,1,0,50,40,85,70,85,100,100
85,40,2,6,2,40,70,60,50,40,50,85,70
30,30,7,1,2,85,0,0,100,85,100,100,85
0,85,7,1,1,50,40,15,50,40,50,100,50
60,70,6,1,2,60,70,100,100,100,50,60,100
70,30,1,1,1,40,70,70,70,40,70,70,85
40,0,2,1,1,0,85,60,85,0,15,30,100
40,60,5,1,1,100,70,60,100,70,85,100,70
70,15,1,1,2,15,100,85,85,15,30,70,100
50,50,4,1,2,85,30,50,50,50,50,100,85
40,40,3,1,2,15,70,50,85,30,50,85,85
60,0,4,2,1,40,50,70,50,30,50,30,70
70,60,2,1,1,60,70,70,70,60,60,85,70
10,60,6,1,1,40,15,30,50,60,50,60,50
70,30,2,3,2,15,40,50,60,40,60,60,85
15,15,6,1,1,85,50,30,60,70,60,30,30
60,50,2,2,1,70,40,50,100,70,50,85,100
70,40,1,5,1,40,60,50,85,85,60,85,85
70,15,3,1,2,0,100,100,85,30,50,40,100
40,60,6,1,1,50,40,60,50,50,50,85,70
40,30,3,1,1,30,100,70,100,85,100,85,100
0,30,5,1,1,85,15,0,60,40,50,100,50
70,30,1,2,2,85,60,85,85,85,85,40,100
0,70,6,1,1,100,0,30,70,70,50,100,85
70,30,1,1,1,40,50,70,60,40,50,70,85
0,100,7,1,1,100,60,30,85,85,85,100,70
100,0,1,2,2,100,50,70,100,85,100,100,100
70,30,3,1,2,15,85,70,60,50,60,85,85
15,60,5,1,1,50,50,30,50,50,50,85,50
15,70,7,1,2,85,85,0,100,85,70,100,70
40,50,5,1,1,40,50,40,70,40,30,60,85
30,70,5,3,1,50,60,30,60,40,40,70,70
0,100,7,1,2,50,50,40,50,50,50,85,70
70,85,3,3,2,50,50,85,85,60,50,100,85
85,0,1,2,2,50,100,70,100,60,50,100,85
0,70,7,1,2,50,50,30,85,60,85,100,60
15,15,7,1,1,40,35,15,60,75,50,70,85
70,70,5,1,2,70,40,60,60,30,40,60,50
15,85,6,1,1,50,40,85,50,60,70,85,60
30,85,5,1,2,60,50,85,70,40,40,85,85
85,30,1,5,2,50,60,70,100,50,50,100,85
70,15,2,5,2,50,50,60,50,40,50,50,70
50,60,6,1,1,50,60,70,100,70,40,30,40
30,70,5,1,1,70,70,70,100,85,85,85,70
70,40,2,1,2,30,70,60,70,50,50,70,70
70,15,2,5,1,50,40,85,50,70,50,50,50
50,30,3,5,1,30,60,30,70,30,50,70,70
40,70,5,1,1,50,50,40,50,50,50,85,50
70,30,3,1,2,30,100,70,100,60,70,100,85
80,50,3,5,1,30,50,40,85,15,60,70,60
50,50,4,1,2,50,50,30,50,15,50,85,85
0,60,7,1,2,50,50,60,70,50,50,70,70
30,80,7,1,1,30,50,30,60,50,50,85,70
85,30,1,1,1,30,70,100,50,40,15,85,60
70,60,3,6,1,70,70,40,70,70,85,85,85
85,60,1,5,1,70,30,85,70,40,40,60,60
30,30,5,5,2,50,50,60,50,60,40,70,15
85,0,2,1,1,50,50,50,100,50,30,50,50
30,30,4,5,2,50,70,50,60,30,40,50,70
50,60,6,1,1,40,50,50,50,70,50,70,70
40,0,1,1,2,60,85,100,70,40,40,100,100
30,60,2,1,2,50,40,70,50,30,50,100,85
30,40,6,1,1,85,50,40,50,50,50,70,70
60,50,3,1,1,40,50,60,50,50,50,60,70
0,70,7,1,1,70,50,60,70,70,50,100,85
15,20,5,1,1,0,0,50,50,60,50,60,85
0,60,7,6,1,50,50,30,50,70,85,85,70
15,85,5,1,2,60,30,50,60,50,30,60,40
30,70,5,1,2,50,40,30,85,50,50,100,60
40,60,5,1,2,50,50,60,60,50,60,85,60
50,50,5,3,2,50,60,50,50,50,50,50,85
0,70,7,1,2,70,70,50,85,50,50,85,85
40,50,4,1,1,40,15,30,50,40,50,85,60
70,30,1,5,2,40,70,60,85,40,60,85,85
40,50,5,1,1,40,50,50,85,50,50,70,70
15,85,7,1,1,50,100,85,60,40,85,100,50
40,40,5,1,1,50,40,30,85,60,60,100,50
60,40,2,1,2,60,70,70,70,70,60,100,85
70,15,2,1,2,30,50,50,50,50,50,10,50
70,70,3,5,2,0,85,60,50,50,50,70,85
70,30,1,1,1,30,100,100,100,30,30,100,100
70,15,2,1,2,40,50,50,50,40,50,85,50
30,60,7,1,2,70,40,40,70,70,50,85,50
85,40,2,5,2,50,50,40,70,50,50,40,60
0,60,7,1,2,70,15,60,85,50,70,100,70
50,50,6,1,1,70,70,85,70,60,50,70,50
50,50,5,1,2,50,50,70,60,60,40,70,60
30,70,7,6,2,85,70,40,85,70,50,85,85
85,40,3,2,2,40,100,50,100,85,50,30,60
30,70,6,1,2,40,70,70,100,30,60,100,85
40,60,5,1,1,50,70,40,60,70,60,100,50
50,50,4,3,2,60,50,85,100,60,60,70,85
60,40,7,1,2,60,85,70,85,85,85,100,100
50,50,5,1,2,70,30,95,100,50,50,15,100
40,70,7,1,1,60,85,50,70,85,70,85,85
