NAME,Total_Population,Pop_18_Over,Percent_18_over,prop_pop_white,prop_pop_black,prop_pop_hispanic,prop_pop_asian,prop_pop_aina,prop_pop_nhpi,prop_pop_multi,over18_white,over18_black,over18_hispanic,over18_asian,percent_VAP_registered,percent_VAP_voted,est_number_registered,,est_number_registered_KFF,est_number_voted_KFF,,prop_reg_white,prop_reg_black,prop_reg_asian,prop_reg_hispanic,prop_voted_white,prop_voted_black,prop_voted_asian,prop_voted_hispanic,est_white_reg,est_black_reg,est_asian_reg,est_hispanic_reg,est_white_reg_voters,est_black_reg_voters,est_asian_reg_voters,est_hispanic_reg_voters,,republican_white,democrat_white,ind_white,republican_black,democrat_black,ind_black,republican_hispanic,democrat_hispanic,ind_hispanic,republican_asian,democrat_asian,ind_asian,NAME,white_biden,white_trump,black_biden,black_trump,latino_biden,latino_trump,asian_biden,asian_trump,biden_vote,trump_vote
Pennsylvania,12972008,10347543,79.8,0.733,0.098,0.087,0.037,0.001,0.0001,0.045,7584749,1014059,900236,382859,0.72,0.6,7450231,6208526,7009000,5843000,Pennsylvania,0.731,0.699,0.618,0.508,0.612,0.595,0.482,0.359,5544452,708827,236607,457320,4641866,603365,184538,323185,5752955,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Pennsylvania,,,,,,,,,,
Rhode Island,1093734,889822,81.4,0.68,0.045,0.179,0.032,0.0001,0.0001,0.062,605079,40042,159278,28474,0.743,0.544,661138,484063,626000,458000,Rhode Island,0.765,0.458,0.796,0.586,0.577,0.253,0.288,0.418,462885,18339,22666,93337,349131,10131,8201,66578,434040,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Rhode Island,,,,,,,,,,
South Carolina,5282634,4164762,78.8,0.628,0.247,0.064,0.017,0.002,0.0001,0.041,2615471,1028696,266545,70801,0.644,0.449,2682107,1869978,2491000,1736000,South Carolina,0.665,0.605,0.453,0.362,0.469,0.41,0.219,0.243,1739288,622361,32073,96489,1226656,421765,15505,64770,1728697,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,South Carolina,26,73,90,7,,,,,1091541,1385103
South Dakota,909824,690659,75.9,0.801,0.019,0.046,0.014,0.072,0.0001,0.045,553218,13123,31770,9669,0.7,0.534,483461,368812,460000,351000,South Dakota,0.734,0.336,0.493,0.338,0.573,0.074,0.123,0.198,406062,4409,4767,10738,316994,971,1189,6291,325445,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,South Dakota,,,,,,,,,,
Tennessee,7051339,5513202,78.2,0.721,0.152,0.063,0.019,0.001,0.001,0.044,3975019,838007,347332,104751,0.674,0.445,3715898,2453375,3467000,2291000,Tennessee,0.686,0.655,0.297,0.522,0.453,0.42,0.224,0.323,2726863,548894,31111,181307,1800683,351963,23464,112188,2288299,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Tennessee,,,,,,,,,1143711,1852475
Texas,30029572,22573234,75.2,0.389,0.115,0.405,0.054,0.001,0.001,0.036,8780988,2595922,9142160,1218955,0.652,0.47,14717749,10609420,12416000,8935000,Texas,0.661,0.591,0.686,0.582,0.479,0.415,0.422,0.369,5804233,1534190,836203,5320737,4206093,1077308,514399,3373457,9171257,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Texas,33,66,67,31,58,41,63,30,5259126,5890347
Utah,3380800,2449192,72.4,0.756,0.01,0.152,0.026,0.007,0.011,0.039,1851589,24492,372277,63679,0.674,0.528,1650755,1293173,1536000,1204000,Utah,0.69,0.369,0.647,0.366,0.549,0.306,0.432,0.217,1277597,9038,41200,136253,1016522,7495,27509,80784,1132310,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Utah,,,,,,,,,,
Vermont,647064,532307,82.3,0.904,0.008,0.022,0.015,0.0001,0.0001,0.049,481206,4258,11711,7985,0.754,0.622,401359,331095,393000,324000,Vermont,0.77,0.422,0.501,0.588,0.636,0.303,0.444,0.443,370528,1797,4000,6886,306047,1290,3545,5188,316070,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Vermont,,,,,,,,,,
Virginia,8683619,6816709,78.5,0.589,0.182,0.104,0.07,0.001,0.001,0.054,4015042,1240641,708938,477170,0.743,0.532,5064815,3626489,4487000,3216000,Virginia,0.748,0.727,0.738,0.597,0.564,0.439,0.42,0.351,3003251,901946,352151,423236,2264483,544641,200411,248837,3258373,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Virginia,,,,,,,,,,
Washington,7785786,6139213,78.9,0.636,0.038,0.14,0.098,0.009,0.006,0.073,3904539,233290,859490,601643,0.751,0.597,4610549,3665110,4140000,3292000,Washington,0.784,0.609,0.652,0.641,0.658,0.342,0.392,0.463,3061159,142074,392271,550933,2569187,79785,235844,397944,3282760,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Washington,,,,,,,,,,
West Virginia,1775156,1423234,80.2,0.904,0.029,0.019,0.007,0.0001,0.0001,0.04,1286604,41274,27041,9963,0.626,0.384,890944,546522,877000,538000,West Virginia,0.637,0.474,0.261,0.592,0.395,0.223,0.01,0.238,819566,19564,2600,16009,508208,9204,100,6436,523948,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,West Virginia,,,,,,,,,,
Wisconsin,5892539,4646910,78.9,0.791,0.057,0.076,0.029,0.006,0.0001,0.041,3675706,264874,353165,134760,0.723,0.609,3359716,2829968,3225000,2715000,Wisconsin,0.735,0.588,0.695,0.528,0.624,0.38,0.695,0.345,2701644,155746,93658,186471,2293640,100652,93658,121842,2609793,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Wisconsin,,,,,,,,,,
Wyoming,581381,451267,77.6,0.819,0.007,0.109,0.006,0.016,0.0001,0.043,369588,3159,49188,2708,0.628,0.49,283396,221121,274000,214000,Wyoming,0.642,0.222,0.433,0.439,0.504,0.01,0.433,0.32,237275,701,1172,21594,186272,32,1172,15740,203216,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Wyoming,,,,,,,,,,
