date,one,None,Level1,Level2,Level3,gender_binary
2024-05-04,47,25,6,10,6,36
2024-05-05,62,28,14,10,10,57
2024-05-06,460,261,113,42,44,377
2024-05-07,428,213,124,50,41,360
2024-05-08,482,258,109,61,54,404
2024-05-09,425,170,140,57,58,358
2024-05-10,448,171,138,69,70,384
2024-05-11,76,44,10,4,18,54
2024-05-12,62,24,16,8,14,51
2024-05-13,423,213,102,59,49,350
2024-05-14,453,242,111,47,53,372
2024-05-15,505,266,117,55,67,420
2024-05-16,427,185,103,65,74,352
2024-05-17,434,168,143,53,70,387
2024-05-18,76,34,10,10,22,47
2024-05-19,95,48,13,6,28,85
2024-05-20,415,209,110,55,41,347
2024-05-21,423,184,122,66,51,352
2024-05-22,445,209,114,52,70,356
2024-05-23,425,199,96,57,73,345
2024-05-24,443,118,171,86,68,391
2024-05-25,71,39,4,9,19,56
2024-05-26,80,43,14,8,15,66
2024-05-27,139,89,24,10,16,123
2024-05-28,446,225,120,59,42,388
2024-05-29,422,222,94,47,59,355
2024-05-30,462,206,112,59,85,380
2024-05-31,385,138,125,59,63,348
2024-06-01,66,37,12,5,12,45
2024-06-02,58,38,7,2,11,40
2024-06-03,348,155,97,40,56,302
2024-06-04,392,174,119,47,52,336
2024-06-05,457,237,105,57,58,370
2024-06-06,434,215,102,55,62,353
2024-06-07,397,134,138,64,61,360
2024-06-08,98,55,14,13,16,75
2024-06-09,87,57,10,4,16,56
2024-06-10,387,187,105,48,47,319
2024-06-11,410,181,127,50,52,343
2024-06-12,481,222,113,69,77,411
2024-06-13,470,194,134,63,79,401
2024-06-14,399,153,125,45,76,335
2024-06-15,59,30,14,4,11,49
2024-06-16,73,46,4,6,17,60
2024-06-17,373,194,96,29,54,311
2024-06-18,452,190,130,68,64,388
2024-06-19,186,105,20,27,34,141
2024-06-20,393,191,117,39,46,324
2024-06-21,316,107,117,52,40,290
2024-06-22,59,25,8,10,16,40
2024-06-23,84,42,7,13,22,64
2024-06-24,410,200,103,53,54,351
2024-06-25,435,200,120,52,63,376
2024-06-26,423,212,114,52,45,369
2024-06-27,397,185,104,60,48,343
2024-06-28,392,144,147,44,57,348
2024-06-29,74,24,19,12,19,61
2024-06-30,51,18,13,10,10,42
2024-07-01,386,154,137,50,45,338
2024-07-02,464,204,122,68,70,394
